"Date","Price","Open","High","Low","Vol.","Change %"
"01/16/2013","17.22","17.26","17.26","17.01","16.41M","0.12%"
"01/15/2013","17.20","17.45","17.49","17.17","29.46M","-0.17%"
"01/14/2013","17.23","17.37","17.57","17.15","27.39M","-0.12%"
"01/11/2013","17.25","17.23","17.39","17.10","17.78M","0.23%"
"01/10/2013","17.21","17.16","17.25","16.96","16.84M","0.76%"
"01/09/2013","17.08","17.05","17.25","16.89","24.00M","0.95%"
"01/08/2013","16.92","17.45","17.56","16.89","28.47M","-2.93%"
"01/07/2013","17.43","17.78","17.94","17.32","27.85M","-1.97%"
"01/04/2013","17.78","17.65","17.90","17.51","35.99M","0.40%"
"01/03/2013","17.71","17.19","17.71","17.10","30.28M","3.63%"
"01/02/2013","17.09","17.35","17.54","17.09","29.84M","0.89%"
"12/28/2012","16.94","16.92","17.04","16.75","27.98M","0.53%"
"12/27/2012","16.85","17.41","17.51","16.79","28.78M","-3.22%"
"12/26/2012","17.41","17.83","17.95","17.41","22.66M","-3.06%"
"12/21/2012","17.96","17.93","18.00","17.70","29.22M","-1.70%"
"12/20/2012","18.27","18.11","18.30","17.91","25.24M","0.55%"
"12/19/2012","18.17","17.71","18.22","17.71","48.17M","3.77%"
"12/18/2012","17.51","17.24","17.58","17.23","24.47M","1.27%"
"12/17/2012","17.29","17.43","17.48","17.19","27.03M","-1.43%"
"12/14/2012","17.54","17.00","17.60","16.95","44.40M","3.24%"
"12/13/2012","16.99","17.12","17.21","16.92","32.34M","-1.39%"
"12/12/2012","17.23","17.30","17.40","17.08","34.32M","-0.69%"
"12/11/2012","17.35","17.07","17.35","17.02","27.19M","2.12%"
"12/10/2012","16.99","16.53","16.99","16.44","22.78M","2.60%"
"12/07/2012","16.56","16.29","16.58","16.20","16.64M","2.03%"
"12/06/2012","16.23","16.42","16.47","16.23","19.31M","-1.28%"
"12/05/2012","16.44","16.49","16.50","16.27","16.53M","0.67%"
"12/04/2012","16.33","16.53","16.61","16.28","23.85M","-0.97%"
"12/03/2012","16.49","16.39","16.53","16.24","21.01M","1.79%"
"11/30/2012","16.20","16.57","16.73","16.07","35.84M","-2.53%"
"11/29/2012","16.62","16.49","16.62","16.27","25.74M","2.66%"
"11/28/2012","16.19","16.00","16.34","15.93","25.12M","0.75%"
"11/27/2012","16.07","16.42","16.74","16.04","30.81M","-1.59%"
"11/26/2012","16.33","16.60","16.60","16.23","17.63M","-1.86%"
"11/23/2012","16.64","16.19","16.65","16.06","19.16M","2.78%"
"11/22/2012","16.19","16.33","16.45","16.01","16.51M","0.19%"
"11/21/2012","16.16","16.90","16.98","16.16","31.61M","-2.65%"
"11/19/2012","16.60","16.87","17.03","16.60","21.44M","0.48%"
"11/16/2012","16.52","17.07","17.19","16.35","32.78M","-3.90%"
"11/14/2012","17.19","17.61","17.83","17.06","27.82M","-3.26%"
"11/13/2012","17.77","17.74","17.94","17.60","24.87M","0.17%"
"11/12/2012","17.74","18.08","18.19","17.74","16.56M","-1.66%"
"11/09/2012","18.04","17.84","18.32","17.81","20.27M","0.84%"
"11/08/2012","17.89","18.40","18.53","17.85","22.52M","-2.67%"
"11/07/2012","18.38","18.76","18.85","18.26","23.14M","-2.34%"
"11/06/2012","18.82","18.61","18.92","18.46","21.15M","2.12%"
"11/05/2012","18.43","17.91","18.44","17.73","22.31M","1.82%"
"11/01/2012","18.10","18.16","18.28","17.95","22.12M","0.28%"
"10/31/2012","18.05","18.77","18.85","18.05","29.37M","-3.42%"
"10/30/2012","18.69","18.57","18.82","18.57","8.37M","0.86%"
"10/29/2012","18.53","18.66","18.75","18.37","20.15M","-3.39%"
