"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2020","10.66","10.53","10.68","10.48","31.64M","2.80%"
"08/31/2020","10.37","10.67","10.69","10.37","38.24M","-3.45%"
"08/28/2020","10.74","10.75","10.83","10.53","22.96M","0.56%"
"08/27/2020","10.68","10.70","10.81","10.61","20.67M","-0.19%"
"08/26/2020","10.70","10.73","10.90","10.52","29.22M","-0.37%"
"08/25/2020","10.74","10.86","10.90","10.70","14.71M","-0.83%"
"08/24/2020","10.83","11.00","11.04","10.80","18.18M","-0.91%"
"08/21/2020","10.93","10.83","10.93","10.70","19.34M","0.74%"
"08/20/2020","10.85","10.67","10.99","10.60","21.39M","0.18%"
"08/19/2020","10.83","11.02","11.12","10.78","15.59M","-1.72%"
"08/18/2020","11.02","10.97","11.17","10.87","30.07M","1.75%"
"08/17/2020","10.83","11.13","11.27","10.74","33.22M","-3.04%"
"08/14/2020","11.17","11.15","11.30","11.08","21.77M","0.36%"
"08/13/2020","11.13","11.42","11.42","11.12","22.34M","-2.02%"
"08/12/2020","11.36","11.40","11.44","11.04","44.43M","0.53%"
"08/11/2020","11.30","11.27","11.50","11.20","40.69M","1.35%"
"08/10/2020","11.15","11.27","11.38","10.99","27.96M","-0.54%"
"08/07/2020","11.21","11.11","11.40","11.02","44.17M","0.36%"
"08/06/2020","11.17","11.15","11.28","10.96","34.88M","0.63%"
"08/05/2020","11.10","11.46","11.50","10.99","47.27M","-1.68%"
"08/04/2020","11.29","11.52","11.55","11.10","40.37M","-2.25%"
"08/03/2020","11.55","11.74","11.79","11.46","35.39M","-1.37%"
"07/31/2020","11.71","12.48","12.49","11.59","67.56M","-4.49%"
"07/30/2020","12.26","13.31","13.41","12.24","107.77M","-3.92%"
"07/29/2020","12.76","12.77","12.98","12.67","39.62M","0.39%"
"07/28/2020","12.71","12.80","12.98","12.66","44.64M","-1.24%"
"07/27/2020","12.87","12.58","12.97","12.54","41.94M","2.31%"
"07/24/2020","12.58","12.21","12.60","12.05","32.42M","3.71%"
"07/23/2020","12.13","12.39","12.54","12.12","20.97M","-2.10%"
"07/22/2020","12.39","12.34","12.75","12.27","35.71M","0.16%"
"07/21/2020","12.37","11.95","12.38","11.81","40.98M","3.95%"
"07/20/2020","11.90","11.89","12.05","11.82","34.25M","-0.25%"
"07/17/2020","11.93","11.93","11.95","11.64","49.72M","0.76%"
"07/16/2020","11.84","12.01","12.10","11.68","22.92M","-1.66%"
"07/15/2020","12.04","11.86","12.17","11.81","31.77M","2.73%"
"07/14/2020","11.72","11.81","11.82","11.51","36.14M","-0.59%"
"07/13/2020","11.79","12.56","12.59","11.78","36.57M","-5.76%"
"07/10/2020","12.51","12.32","12.63","12.26","20.12M","1.46%"
"07/09/2020","12.33","12.45","12.52","12.23","31.52M","-0.48%"
"07/08/2020","12.39","12.27","12.53","12.08","39.32M","1.81%"
"07/07/2020","12.17","12.03","12.22","11.93","22.47M","0.58%"
"07/06/2020","12.10","12.11","12.14","11.89","24.17M","1.60%"
"07/03/2020","11.91","11.88","11.93","11.81","6.94M","-0.25%"
"07/02/2020","11.94","12.29","12.40","11.79","27.20M","-1.32%"
"07/01/2020","12.10","12.01","12.34","12.00","20.60M","1.60%"
"06/30/2020","11.91","12.02","12.47","11.89","34.49M","-0.83%"
"06/29/2020","12.01","11.87","12.16","11.69","21.98M","2.21%"
"06/26/2020","11.75","11.89","12.04","11.65","19.03M","-1.67%"
"06/25/2020","11.95","11.63","12.02","11.59","24.93M","3.73%"
"06/24/2020","11.52","11.66","11.71","11.31","16.20M","-1.87%"
"06/23/2020","11.74","12.01","12.06","11.63","16.14M","-1.26%"
"06/22/2020","11.89","11.54","11.95","11.52","24.66M","1.97%"
"06/19/2020","11.66","11.71","11.79","11.54","33.05M","1.22%"
"06/18/2020","11.52","11.56","11.77","11.39","26.86M","-0.69%"
"06/17/2020","11.60","11.32","11.79","11.30","28.23M","3.85%"
"06/16/2020","11.17","11.55","11.58","11.05","35.97M","-1.24%"
"06/15/2020","11.31","11.11","11.31","11.01","22.90M","-1.05%"
"06/12/2020","11.43","11.39","11.56","11.13","29.78M","-2.81%"
"06/10/2020","11.76","12.22","12.23","11.63","26.82M","-2.49%"
"06/09/2020","12.06","12.28","12.28","11.89","23.82M","-1.95%"
"06/08/2020","12.30","12.08","12.49","11.99","47.59M","3.89%"
"06/05/2020","11.84","11.63","12.07","11.47","50.27M","5.06%"
"06/04/2020","11.27","11.20","11.36","11.10","20.05M","0.99%"
"06/03/2020","11.16","11.16","11.48","11.15","29.63M","2.10%"
"06/02/2020","10.93","10.75","11.20","10.65","25.14M","3.02%"
