"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2013","9.06","9.04","9.09","8.93","21.29M","0.00%"
"03/08/2013","9.06","8.87","9.07","8.84","20.39M","1.46%"
"03/07/2013","8.93","8.87","8.99","8.75","20.85M","1.02%"
"03/06/2013","8.84","8.91","8.97","8.76","22.26M","-0.11%"
"03/05/2013","8.85","8.84","8.98","8.77","19.41M","0.23%"
"03/04/2013","8.83","8.67","8.84","8.63","16.38M","1.15%"
"03/01/2013","8.73","8.54","8.77","8.54","18.55M","1.16%"
"02/28/2013","8.63","8.58","8.67","8.51","17.18M","0.94%"
"02/27/2013","8.55","8.58","8.58","8.36","20.99M","0.59%"
"02/26/2013","8.50","8.61","8.64","8.37","28.83M","-2.19%"
"02/25/2013","8.69","8.74","8.81","8.67","22.92M","-0.23%"
"02/22/2013","8.71","8.61","8.71","8.56","24.32M","1.99%"
"02/21/2013","8.54","8.58","8.70","8.47","20.68M","-1.04%"
"02/20/2013","8.63","8.83","8.85","8.57","22.12M","-2.27%"
"02/19/2013","8.83","8.97","9.00","8.83","25.59M","-2.21%"
"02/18/2013","9.03","8.85","9.03","8.80","16.47M","1.69%"
"02/15/2013","8.88","8.50","8.88","8.50","32.01M","4.35%"
"02/14/2013","8.51","8.62","8.62","8.46","14.57M","-1.28%"
"02/13/2013","8.62","8.77","8.78","8.62","14.79M","-0.92%"
"02/08/2013","8.70","8.53","8.70","8.46","20.10M","1.99%"
"02/07/2013","8.53","8.61","8.70","8.44","29.02M","-0.81%"
"02/06/2013","8.60","8.76","8.78","8.53","16.04M","-1.71%"
"02/05/2013","8.75","8.73","8.97","8.61","23.45M","0.00%"
"02/04/2013","8.75","8.83","8.87","8.65","17.22M","-1.35%"
"02/01/2013","8.87","8.86","8.94","8.77","15.43M","-0.56%"
"01/31/2013","8.92","8.72","8.92","8.71","18.67M","2.29%"
"01/30/2013","8.72","8.77","8.87","8.72","22.90M","-1.02%"
"01/29/2013","8.81","8.91","8.94","8.76","29.01M","-1.23%"
"01/28/2013","8.92","9.13","9.15","8.88","24.82M","-3.04%"
"01/24/2013","9.20","9.20","9.28","9.12","14.75M","-0.22%"
"01/23/2013","9.22","9.27","9.33","9.21","13.30M","-1.50%"
"01/22/2013","9.36","9.27","9.37","9.21","15.71M","0.86%"
