"Date","Price","Open","High","Low","Vol.","Change %"
"01/14/2013","5.83","5.77","5.86","5.77","24.83M","1.23%"
"01/11/2013","5.76","5.74","5.77","5.71","21.23M","0.26%"
"01/10/2013","5.75","5.83","5.85","5.73","24.28M","-1.27%"
"01/09/2013","5.82","5.75","5.82","5.73","21.90M","1.61%"
"01/08/2013","5.73","5.74","5.77","5.68","18.17M","0.40%"
"01/07/2013","5.71","5.76","5.81","5.67","22.67M","-1.39%"
"01/04/2013","5.79","5.84","5.85","5.74","18.44M","-0.90%"
"01/03/2013","5.84","5.64","5.86","5.61","32.84M","2.99%"
"01/02/2013","5.67","5.59","5.67","5.58","23.53M","3.31%"
"12/28/2012","5.49","5.48","5.53","5.42","17.81M","0.63%"
"12/27/2012","5.45","5.56","5.56","5.42","12.23M","-1.66%"
"12/26/2012","5.55","5.60","5.63","5.52","13.97M","-1.05%"
"12/21/2012","5.60","5.48","5.61","5.45","22.91M","1.50%"
"12/20/2012","5.52","5.55","5.58","5.47","19.65M","-0.44%"
"12/19/2012","5.55","5.37","5.55","5.33","36.53M","3.53%"
"12/18/2012","5.36","5.34","5.37","5.28","17.80M","0.58%"
"12/17/2012","5.33","5.32","5.35","5.30","20.73M","0.31%"
"12/14/2012","5.31","5.37","5.37","5.30","18.33M","-0.85%"
"12/13/2012","5.35","5.32","5.41","5.32","20.55M","0.00%"
"12/12/2012","5.35","5.39","5.40","5.32","20.75M","-0.39%"
"12/11/2012","5.37","5.37","5.40","5.29","18.83M","0.64%"
"12/10/2012","5.34","5.31","5.35","5.28","25.49M","0.00%"
"12/07/2012","5.34","5.32","5.37","5.26","19.52M","0.18%"
"12/06/2012","5.33","5.36","5.36","5.24","23.74M","-0.34%"
"12/05/2012","5.34","5.32","5.40","5.28","23.82M","0.52%"
"12/04/2012","5.32","5.34","5.36","5.26","23.58M","-1.09%"
"12/03/2012","5.37","5.27","5.41","5.26","31.09M","2.72%"
"11/30/2012","5.23","5.18","5.30","5.10","37.69M","0.63%"
"11/29/2012","5.20","5.09","5.20","5.04","22.77M","2.54%"
"11/28/2012","5.07","5.01","5.08","4.99","21.23M","0.45%"
"11/27/2012","5.05","5.13","5.16","5.05","22.04M","-1.56%"
"11/26/2012","5.13","5.19","5.21","5.13","11.89M","-1.84%"
