"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2026","4.42","4.41","4.51","4.03","52.18M","1.38%"
"06/24/2026","4.36","4.38","4.48","4.30","21.44M","-1.36%"
"06/23/2026","4.42","4.61","4.64","4.42","24.06M","-5.15%"
"06/22/2026","4.66","4.63","4.84","4.56","21.30M","0.87%"
"06/19/2026","4.62","4.48","4.65","4.47","20.96M","2.67%"
"06/18/2026","4.50","4.78","4.80","4.47","30.53M","-5.06%"
"06/17/2026","4.74","5.03","5.13","4.74","28.46M","-5.20%"
"06/16/2026","5.00","5.29","5.30","4.99","25.72M","-6.54%"
"06/15/2026","5.35","5.40","5.47","5.26","18.03M","2.49%"
"06/12/2026","5.22","5.23","5.44","5.19","16.19M","-2.06%"
"06/11/2026","5.33","5.16","5.38","5.10","28.79M","4.10%"
"06/10/2026","5.12","5.46","5.47","5.12","22.80M","-6.74%"
"06/09/2026","5.49","5.47","5.66","5.46","24.56M","2.81%"
"06/08/2026","5.34","5.45","5.54","5.34","17.37M","-1.84%"
"06/05/2026","5.44","5.44","5.67","5.29","27.75M","1.87%"
"06/03/2026","5.34","5.55","5.55","5.32","22.88M","-5.99%"
"06/02/2026","5.68","5.85","5.93","5.68","18.28M","-2.41%"
"06/01/2026","5.82","5.98","6.07","5.76","19.79M","-2.68%"
"05/29/2026","5.98","6.38","6.43","5.96","19.98M","-5.83%"
"05/28/2026","6.35","6.65","6.71","6.30","17.83M","-3.79%"
"05/27/2026","6.60","6.74","6.83","6.59","13.50M","-0.75%"
"05/26/2026","6.65","6.77","6.78","6.55","10.89M","-1.77%"
"05/25/2026","6.77","6.74","6.83","6.67","10.05M","2.11%"
"05/22/2026","6.63","6.70","6.88","6.61","13.28M","-2.07%"
"05/21/2026","6.77","6.66","6.79","6.47","17.23M","0.59%"
"05/20/2026","6.73","6.53","6.80","6.49","20.91M","3.70%"
"05/19/2026","6.49","6.51","6.68","6.34","18.15M","-1.82%"
"05/18/2026","6.61","6.83","6.99","6.61","17.86M","-2.65%"
"05/15/2026","6.79","6.82","6.84","6.60","17.57M","-1.74%"
"05/14/2026","6.91","7.09","7.13","6.83","20.65M","-0.72%"
"05/13/2026","6.96","7.12","7.40","6.96","22.17M","-2.79%"
"05/12/2026","7.16","6.93","7.20","6.80","17.66M","3.32%"
"05/11/2026","6.93","7.12","7.21","6.90","18.21M","-3.08%"
"05/08/2026","7.15","7.60","7.85","7.15","35.10M","-9.95%"
"05/07/2026","7.94","8.05","8.17","7.90","15.37M","-1.12%"
"05/06/2026","8.03","8.22","8.32","8.02","11.26M","0.37%"
"05/05/2026","8.00","8.05","8.17","8.00","15.10M","0.00%"
"05/04/2026","8.00","8.25","8.34","7.99","14.30M","-2.79%"
"04/30/2026","8.23","8.29","8.35","8.08","17.48M","1.86%"
"04/29/2026","8.08","8.53","8.58","8.08","13.85M","-5.39%"
"04/28/2026","8.54","8.50","8.61","8.40","10.10M","0.12%"
"04/27/2026","8.53","8.69","8.77","8.47","8.15M","-1.37%"
"04/24/2026","8.65","8.63","8.68","8.45","9.87M","0.92%"
"04/23/2026","8.57","8.90","8.94","8.55","11.94M","-3.35%"
"04/22/2026","8.87","9.19","9.23","8.87","12.67M","-4.28%"
"04/20/2026","9.26","9.18","9.32","9.04","14.58M","-0.29%"
"04/17/2026","9.29","9.38","9.76","9.21","18.92M","0.43%"
"04/16/2026","9.25","9.44","9.44","9.18","12.80M","-1.49%"
"04/15/2026","9.39","9.23","9.42","9.18","12.79M","1.51%"
"04/14/2026","9.25","9.30","9.47","9.16","13.33M","0.43%"
"04/13/2026","9.21","8.95","9.37","8.92","14.30M","0.66%"
"04/10/2026","9.15","9.35","9.47","9.03","13.26M","-0.87%"
"04/09/2026","9.23","9.03","9.25","8.95","14.66M","3.13%"
"04/08/2026","8.95","9.34","9.52","8.95","18.22M","1.94%"
"04/07/2026","8.78","8.74","8.94","8.58","11.89M","-0.45%"
"04/06/2026","8.82","8.80","9.01","8.66","13.28M","0.80%"
"04/02/2026","8.75","8.59","8.88","8.45","14.29M","-1.02%"
"04/01/2026","8.84","8.81","9.02","8.72","19.30M","0.80%"
"03/31/2026","8.77","8.25","8.85","8.25","27.50M","9.63%"
"03/30/2026","8.00","8.31","8.32","7.92","17.06M","-1.11%"
"03/27/2026","8.09","8.41","8.45","8.08","22.13M","-4.15%"
"03/26/2026","8.44","8.73","8.90","8.44","15.05M","-5.06%"
"03/25/2026","8.89","8.90","9.17","8.81","17.72M","2.30%"
"03/24/2026","8.69","8.68","8.81","8.51","18.93M","-0.80%"
"03/23/2026","8.76","8.59","8.88","8.58","20.05M","5.04%"
"03/20/2026","8.34","8.77","8.78","8.27","28.06M","-4.90%"
"03/19/2026","8.77","8.71","8.90","8.44","23.04M","-0.90%"
"03/18/2026","8.85","9.08","9.21","8.85","23.38M","-2.10%"
"03/17/2026","9.04","9.88","9.93","9.04","22.06M","-8.13%"
"03/16/2026","9.84","9.68","10.02","9.57","22.66M","5.35%"
"03/13/2026","9.34","9.50","10.33","9.15","37.55M","-0.64%"
"03/12/2026","9.40","9.91","9.99","9.33","14.84M","-6.37%"
"03/11/2026","10.04","10.00","10.31","9.96","13.00M","-0.99%"
