"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2025","36.23","35.57","36.50","35.46","6.53M","1.20%"
"07/22/2025","35.80","35.97","36.41","35.72","3.07M","-0.06%"
"07/21/2025","35.82","35.93","36.12","35.28","5.63M","0.06%"
"07/18/2025","35.80","36.60","37.13","35.56","9.53M","-4.18%"
"07/17/2025","37.36","37.09","37.56","36.83","4.41M","0.97%"
"07/16/2025","37.00","37.07","37.15","36.33","3.64M","0.24%"
"07/15/2025","36.91","36.56","37.12","36.11","4.37M","1.23%"
"07/14/2025","36.46","36.62","36.75","35.74","5.34M","-0.55%"
"07/11/2025","36.66","37.92","38.04","36.33","10.68M","-4.16%"
"07/10/2025","38.25","36.74","38.76","36.09","15.20M","2.46%"
"07/09/2025","37.33","38.13","38.43","37.06","7.18M","-2.48%"
"07/08/2025","38.28","39.08","39.11","38.03","5.51M","-1.06%"
"07/07/2025","38.69","39.18","39.71","38.37","4.05M","-1.25%"
"07/04/2025","39.18","38.84","39.40","38.68","3.45M","-0.18%"
"07/03/2025","39.25","38.40","39.48","37.98","8.45M","2.51%"
"07/02/2025","38.29","40.69","40.76","37.98","15.93M","-5.76%"
"07/01/2025","40.63","40.54","41.10","39.83","6.27M","0.27%"
"06/30/2025","40.52","40.22","41.22","39.67","8.49M","1.19%"
"06/27/2025","40.04","39.34","40.91","39.32","14.09M","1.35%"
"06/26/2025","39.51","41.77","41.77","39.51","33.73M","-7.28%"
"06/25/2025","42.61","42.71","43.13","42.34","4.99M","-0.83%"
"06/24/2025","42.97","41.96","43.86","41.76","7.31M","2.59%"
"06/23/2025","41.88","42.60","42.60","41.47","6.81M","-3.19%"
"06/20/2025","43.26","44.27","44.57","43.21","11.70M","-3.61%"
"06/18/2025","44.88","44.50","45.03","44.32","4.54M","0.63%"
"06/17/2025","44.60","45.24","45.25","44.20","4.58M","-0.87%"
"06/16/2025","44.99","44.59","45.75","44.30","8.85M","2.20%"
"06/13/2025","44.02","43.71","44.52","43.71","5.33M","-0.99%"
"06/12/2025","44.46","43.89","44.58","43.54","2.83M","1.05%"
"06/11/2025","44.00","43.99","44.36","43.14","6.16M","0.02%"
"06/10/2025","43.99","44.15","44.45","43.74","6.40M","0.76%"
"06/09/2025","43.66","43.62","44.56","42.64","5.51M","-0.32%"
"06/06/2025","43.80","44.35","44.78","43.16","16.56M","-0.90%"
"06/05/2025","44.20","43.80","44.70","43.39","14.22M","1.14%"
"06/04/2025","43.70","43.43","43.79","42.66","8.73M","1.35%"
"06/03/2025","43.12","42.61","43.24","42.18","7.83M","-0.44%"
"06/02/2025","43.31","43.30","44.20","42.38","7.74M","0.81%"
"05/30/2025","42.96","43.29","43.73","42.69","13.02M","-1.10%"
"05/29/2025","43.44","42.95","44.35","42.95","9.04M","0.28%"
"05/28/2025","43.32","42.45","44.30","42.13","16.93M","1.57%"
"05/27/2025","42.65","42.05","43.26","41.78","14.07M","4.41%"
"05/26/2025","40.85","40.66","41.25","40.43","3.91M","0.64%"
"05/23/2025","40.59","40.12","40.83","38.40","7.35M","0.07%"
"05/22/2025","40.56","40.48","41.60","40.01","7.29M","0.50%"
"05/21/2025","40.36","41.45","41.45","39.95","16.90M","-3.21%"
"05/20/2025","41.70","42.21","42.44","40.32","6.14M","-0.95%"
"05/19/2025","42.10","41.94","43.17","41.68","9.36M","0.62%"
"05/16/2025","41.84","40.32","42.32","40.31","8.02M","2.67%"
"05/15/2025","40.75","39.92","41.06","39.90","7.35M","2.62%"
"05/14/2025","39.71","41.64","41.64","39.61","7.59M","-4.86%"
"05/13/2025","41.74","41.61","42.74","41.48","7.97M","0.58%"
"05/12/2025","41.50","41.16","41.63","40.62","12.76M","1.22%"
"05/09/2025","41.00","43.86","44.58","40.82","12.33M","-6.61%"
"05/08/2025","43.90","43.65","44.40","43.00","10.53M","4.30%"
"05/07/2025","42.09","42.23","42.28","41.33","7.42M","0.21%"
"05/06/2025","42.00","43.18","43.70","41.44","13.86M","-2.46%"
"05/05/2025","43.06","43.15","43.26","42.73","13.68M","-0.09%"
"05/02/2025","43.10","42.90","43.18","42.43","8.82M","0.33%"
"04/30/2025","42.96","42.95","43.66","41.85","10.64M","-0.51%"
"04/29/2025","43.18","43.21","43.68","43.04","12.35M","0.28%"
"04/28/2025","43.06","42.99","43.70","42.33","11.38M","0.58%"
"04/25/2025","42.81","41.78","43.27","41.27","11.65M","2.91%"
"04/24/2025","41.60","40.60","42.00","40.23","7.81M","3.07%"
"04/23/2025","40.36","39.65","40.88","39.36","8.11M","3.09%"
"04/22/2025","39.15","39.80","40.02","39.03","11.77M","-2.73%"
"04/17/2025","40.25","38.54","40.36","38.26","7.86M","3.87%"
"04/16/2025","38.75","39.30","39.62","38.48","11.70M","-1.65%"
"04/15/2025","39.40","39.00","39.78","38.80","8.92M","0.36%"
"04/14/2025","39.26","39.30","39.73","38.57","8.91M","1.79%"
"04/11/2025","38.57","37.56","39.48","37.25","13.52M","3.13%"
"04/10/2025","37.40","36.68","37.59","36.30","10.25M","1.16%"
"04/09/2025","36.97","35.56","37.57","34.82","13.15M","3.56%"
"04/08/2025","35.70","36.17","36.80","35.68","11.83M","-0.31%"
"04/07/2025","35.81","35.65","37.50","34.96","15.62M","-0.80%"
"04/04/2025","36.10","36.30","36.55","35.59","10.34M","-3.06%"
"04/03/2025","37.24","36.10","37.76","36.05","11.70M","2.17%"
"04/02/2025","36.45","35.10","36.67","35.08","13.67M","3.85%"
"04/01/2025","35.10","33.90","35.54","33.60","9.53M","4.50%"
"03/31/2025","33.59","34.17","34.38","33.07","6.67M","-2.58%"
"03/28/2025","34.48","34.64","34.78","33.80","6.14M","-0.78%"
"03/27/2025","34.75","34.74","35.55","34.16","9.58M","1.12%"
"03/26/2025","34.36","32.98","34.78","32.98","14.20M","4.75%"
"03/25/2025","32.80","32.18","33.49","32.18","6.55M","2.15%"
"03/24/2025","32.11","33.35","33.40","32.11","5.01M","-2.75%"
"03/21/2025","33.02","32.78","33.19","32.63","11.47M","0.97%"
"03/20/2025","32.71","32.95","33.23","32.49","4.69M","-2.66%"
"03/19/2025","33.60","32.89","33.94","32.64","13.04M","2.16%"
"03/18/2025","32.89","33.33","33.90","32.81","8.76M","-1.44%"
"03/17/2025","33.37","33.00","33.87","32.68","11.39M","1.58%"
"03/14/2025","32.85","31.45","32.94","31.40","14.41M","5.09%"
"03/13/2025","31.26","30.34","31.49","30.25","9.73M","3.00%"
"03/12/2025","30.35","30.09","30.69","29.56","7.07M","1.10%"
"03/11/2025","30.02","29.75","30.18","29.62","8.50M","0.91%"
"03/10/2025","29.75","29.59","30.39","29.44","14.14M","-0.23%"
"03/07/2025","29.82","28.00","30.14","27.90","13.52M","5.30%"
"03/06/2025","28.32","28.20","28.68","27.98","7.32M","0.78%"
"03/05/2025","28.10","28.75","28.82","27.29","8.35M","0.00%"
"02/28/2025","28.10","28.00","28.82","26.72","30.89M","1.81%"
"02/27/2025","27.60","27.67","28.10","27.33","20.62M","-0.14%"
"02/26/2025","27.64","28.54","28.85","27.64","7.35M","-2.47%"
"02/25/2025","28.34","28.03","28.48","27.67","10.98M","1.69%"
"02/24/2025","27.87","29.41","29.65","27.87","10.90M","-4.69%"
"02/21/2025","29.24","30.42","30.42","28.77","15.28M","-3.66%"
"02/20/2025","30.35","30.53","30.81","30.18","5.91M","-0.33%"
"02/19/2025","30.45","31.31","31.56","30.44","6.80M","-4.84%"
"02/18/2025","32.00","32.47","32.83","31.55","10.88M","-1.45%"
"02/17/2025","32.47","31.83","33.31","31.57","13.50M","2.72%"
"02/14/2025","31.61","30.22","31.90","29.81","15.13M","6.29%"
"02/13/2025","29.74","30.45","30.49","29.23","12.87M","-3.06%"
"02/12/2025","30.68","30.57","31.06","30.05","18.06M","-1.13%"
"02/11/2025","31.03","30.34","31.77","29.90","11.08M","2.65%"
"02/10/2025","30.23","30.03","30.96","30.00","6.71M","0.97%"
"02/07/2025","29.94","31.89","32.08","29.76","11.70M","-6.11%"
"02/06/2025","31.89","31.45","32.14","31.22","8.53M","0.95%"
"02/05/2025","31.59","31.63","31.84","31.15","5.82M","-0.22%"
"02/04/2025","31.66","31.29","32.27","31.15","7.93M","0.57%"
"02/03/2025","31.48","30.84","31.61","30.52","10.40M","1.98%"
"01/31/2025","30.87","31.97","31.97","30.65","12.48M","-2.50%"
"01/30/2025","31.66","30.40","32.06","30.31","11.23M","4.90%"
"01/29/2025","30.18","31.56","31.65","30.01","14.50M","-3.79%"
"01/28/2025","31.37","31.50","31.86","31.03","6.07M","-1.07%"
"01/27/2025","31.71","30.30","31.88","30.09","9.47M","4.58%"
"01/24/2025","30.32","30.08","30.82","29.90","6.55M","0.97%"
"01/23/2025","30.03","30.66","30.97","29.99","8.24M","-1.64%"
"01/22/2025","30.53","31.08","31.13","29.91","9.12M","-0.10%"
"01/21/2025","30.56","30.57","30.86","30.20","5.47M","-0.07%"
"01/20/2025","30.58","30.00","31.00","29.85","4.63M","0.46%"
"01/17/2025","30.44","30.51","30.81","29.62","7.85M","0.66%"
"01/16/2025","30.24","30.69","30.69","29.99","8.13M","-2.36%"
"01/15/2025","30.97","29.76","31.25","29.47","13.85M","5.99%"
"01/14/2025","29.22","28.76","29.64","28.76","10.37M","1.60%"
"01/13/2025","28.76","28.77","29.33","28.31","8.06M","-0.38%"
"01/10/2025","28.87","30.16","30.70","28.70","12.38M","-4.66%"
"01/09/2025","30.28","30.75","30.84","30.28","4.41M","-1.50%"
"01/08/2025","30.74","31.74","31.77","30.18","19.26M","-3.94%"
"01/07/2025","32.00","32.54","32.61","31.32","11.41M","-0.93%"
"01/06/2025","32.30","32.62","33.39","32.10","7.09M","0.06%"
"01/03/2025","32.28","32.06","32.56","32.02","7.11M","0.25%"
"01/02/2025","32.20","32.20","32.49","31.40","7.73M","0.00%"
"12/30/2024","32.20","32.54","32.73","31.90","7.25M","-0.92%"
"12/27/2024","32.50","32.75","33.00","32.48","5.56M","-0.09%"
"12/26/2024","32.53","32.83","33.19","32.44","5.70M","-1.06%"
"12/23/2024","32.88","33.34","33.57","32.69","9.14M","-2.38%"
"12/20/2024","33.68","32.42","34.08","32.27","25.29M","3.47%"
"12/19/2024","32.55","30.09","32.86","30.00","30.38M","8.75%"
"12/18/2024","29.93","30.51","30.88","29.72","19.61M","-2.75%"
"12/17/2024","30.78","30.56","31.08","29.52","16.05M","1.53%"
"12/16/2024","30.31","31.85","32.04","30.24","12.67M","-4.72%"
"12/13/2024","31.81","33.46","33.56","31.64","16.35M","-4.50%"
"12/12/2024","33.31","34.21","34.24","33.09","10.02M","-4.74%"
"12/11/2024","34.97","34.38","36.39","33.92","18.48M","2.90%"
"12/10/2024","33.98","33.58","34.50","33.07","15.29M","2.93%"
"12/09/2024","33.02","34.48","34.76","32.86","12.01M","-3.93%"
"12/06/2024","34.37","36.32","36.43","33.96","15.11M","-5.89%"
"12/05/2024","36.52","36.42","36.81","36.11","10.31M","2.04%"
"12/04/2024","35.79","36.48","36.98","35.72","8.58M","-2.32%"
"12/03/2024","36.64","36.15","36.98","35.65","8.58M","1.37%"
"12/02/2024","36.14","36.71","36.80","35.93","19.14M","-2.55%"
"11/29/2024","37.09","38.28","38.28","36.02","31.61M","-3.64%"
"11/28/2024","38.49","40.65","40.78","37.61","22.75M","-6.14%"
"11/27/2024","41.01","43.49","43.72","40.86","10.72M","-5.74%"
"11/26/2024","43.51","43.21","43.72","42.59","10.90M","1.26%"
"11/25/2024","42.97","43.77","44.05","42.97","15.24M","-1.52%"
"11/22/2024","43.63","43.23","43.77","42.52","8.14M","1.52%"
"11/21/2024","42.97","42.78","43.27","41.72","9.04M","-0.80%"
"11/19/2024","43.32","42.91","43.53","42.47","6.68M","1.25%"
"11/18/2024","42.79","44.02","44.02","42.49","9.30M","-3.09%"
"11/14/2024","44.15","44.15","45.22","43.37","20.39M","-1.00%"
"11/13/2024","44.59","45.37","45.60","43.83","11.08M","-0.62%"
"11/12/2024","44.87","44.11","45.33","43.15","32.06M","6.79%"
"11/11/2024","42.02","40.47","42.02","40.19","15.24M","4.08%"
"11/08/2024","40.37","41.13","41.13","39.90","13.03M","-2.73%"
"11/07/2024","41.50","41.61","43.06","41.16","9.15M","-1.41%"
"11/06/2024","42.10","41.14","42.55","40.73","8.75M","0.76%"
"11/05/2024","41.78","41.65","41.97","41.14","5.74M","-0.17%"
"11/04/2024","41.85","40.73","41.90","40.52","10.62M","4.02%"
"11/01/2024","40.23","41.98","41.98","40.13","7.64M","-3.00%"
"10/31/2024","41.47","41.90","42.30","41.15","5.60M","-1.43%"
"10/30/2024","42.08","41.41","42.30","41.36","7.93M","1.14%"
"10/29/2024","41.60","41.81","42.15","41.42","3.78M","-0.54%"
"10/28/2024","41.83","42.15","42.33","41.77","6.55M","0.59%"
"10/25/2024","41.58","42.82","43.02","41.57","6.87M","-3.15%"
"10/24/2024","42.94","41.74","43.08","41.73","5.44M","2.67%"
"10/23/2024","41.82","41.67","42.29","41.37","7.79M","-0.42%"
"10/22/2024","42.00","41.70","42.01","41.33","4.65M","0.07%"
"10/21/2024","41.97","41.94","42.34","41.77","5.45M","0.64%"
"10/18/2024","41.70","42.23","42.51","41.18","6.45M","-0.94%"
"10/17/2024","42.10","42.03","42.24","41.47","7.56M","-1.16%"
"10/16/2024","42.59","42.06","42.65","41.60","8.01M","1.24%"
"10/15/2024","42.07","42.33","42.56","41.60","5.68M","0.38%"
"10/14/2024","41.91","41.03","42.30","40.40","6.39M","2.12%"
"10/11/2024","41.04","40.42","41.34","39.96","6.38M","1.12%"
"10/10/2024","40.59","40.96","41.15","40.33","7.47M","-0.87%"
"10/09/2024","40.94","41.95","42.05","40.57","7.57M","-3.22%"
"10/08/2024","42.30","40.96","42.48","40.59","6.25M","3.48%"
"10/07/2024","40.88","42.08","42.19","40.83","4.93M","-1.15%"
"10/04/2024","41.36","39.99","41.59","39.99","7.00M","3.46%"
"10/03/2024","39.97","40.67","40.71","39.70","6.33M","-3.09%"
"10/02/2024","41.25","41.01","41.88","40.91","5.04M","1.68%"
"10/01/2024","40.57","40.56","41.16","40.14","6.40M","0.24%"
"09/30/2024","40.47","41.35","41.35","40.47","4.45M","-0.89%"
"09/27/2024","40.83","41.09","41.52","40.75","9.75M","-1.03%"
"09/26/2024","41.26","41.52","41.85","40.80","7.50M","0.77%"
"09/25/2024","40.94","42.04","42.80","40.77","11.51M","-2.79%"
"09/24/2024","42.12","42.67","43.05","41.32","8.40M","0.87%"
"09/23/2024","41.75","42.04","42.19","41.32","5.41M","-0.67%"
"09/20/2024","42.04","43.27","43.45","41.90","16.77M","-2.96%"
"09/19/2024","43.32","44.56","44.69","43.26","6.53M","-1.14%"
